Summer 2010 [Final],OCR,GCSE, Engineering:Impact of Modern Technologies on Engineering (Examined Unit):Written Paper  ,A624/02,1h 00m ,20 May 2010, Thursday pm  
Summer 2010 [Final],AQA,GCSE, History A (Short Course) Unit 4A (New Specification)  ,40404A,1h 20m ,9 June 2010, Wednesday am  
Summer 2010 [Final],AQA,GCSE, History B (Short Course) Unit 4 (New Specification)  ,40454,1h 15m ,9 June 2010, Wednesday am  
Summer 2010 [Final],AQA,GCSE, History A Unit 1B (New Specification)  ,40401B,1h 45m ,9 June 2010, Wednesday am  
Summer 2010 [Final],AQA,GCSE, History B Unit 1 (New Specification)  ,40451,1h 45m ,9 June 2010, Wednesday am  
Summer 2010 [Final],AQA,GCSE, History A (Short Course) Unit 4B (New Specification)  ,40404B,1h 20m ,9 June 2010, Wednesday am  
Summer 2010 [Final],AQA,GCSE, History A Unit 1A (New Specification)  ,40401A,1h 45m ,9 June 2010, Wednesday am  
Summer 2010 [Final],AQA,GCE, History Unit 3M  ,HIS3M,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCE, History Unit 3B  ,HIS3B,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCE, History Unit 3J  ,HIS3J,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],OCR,GCE, History:Historical Investigations 1799-1955:Paper 1 Roosevelt's America 1920-41  ,2589/14,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],Edexcel,GCE, HISTORY 3: DEPTH STUDIES &amp; ASSOCIATED HISTORICAL CONTROVERSIES  ,6HI03,2h     ,16 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCE, History Unit 3A  ,HIS3A,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],AQA,GCE, History Unit 3L  ,HIS3L,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],OCR,GCE, History:Historical Investigations 1556-1725:Paper 1 Peter the Great  ,2588/14,1h 30m ,16 June 2010, Wednesday pm  
Summer 2010 [Final],OCR,GCE, History:Historical Investigations 1799-1955:Paper 1 Bismarck and the Unification of Germany 1858-71  ,2589/13,1h 30m ,16 June 2010, Wednesday pm  
